real_time,tick_ms,sensor,value1,value2
# Session started: 2026-07-28 18:28:16
2026-07-28 18:57:30,52614,DHT11,31.0,79.0
2026-07-28 18:57:32,54637,DHT11,31.0,78.0
2026-07-28 18:57:34,56660,DHT11,31.0,77.0
2026-07-28 18:57:36,58683,DHT11,31.0,76.0
2026-07-28 18:57:37,58885,PIR,1
2026-07-28 18:57:38,60706,DHT11,31.0,75.0
2026-07-28 18:57:40,62729,DHT11,31.0,74.0
2026-07-28 18:57:42,64753,DHT11,31.0,74.0
2026-07-28 18:57:44,66776,DHT11,31.0,73.0
2026-07-28 18:57:46,68800,DHT11,31.0,73.0
2026-07-28 18:57:47,69761,PIR,1
2026-07-28 18:57:49,70823,DHT11,31.0,72.0
2026-07-28 18:57:51,72847,DHT11,31.0,72.0
